input,expected_output,metadata
"{""question"": ""Berapa panjang Candi Borobudur dalam meter?""}","{""answer"": ""123 meter""}","{""category"": ""Dimensi"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa lebar Candi Borobudur?""}","{""answer"": ""123 meter""}","{""category"": ""Dimensi"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa tinggi Candi Borobudur?""}","{""answer"": ""35–42 meter""}","{""category"": ""Dimensi"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah total arca Buddha di Borobudur?""}","{""answer"": ""504 arca""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah arca di Rupadhatu?""}","{""answer"": ""432 arca""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah arca di Arupadhatu?""}","{""answer"": ""72 arca""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah arca pada baris pertama Rupadhatu?""}","{""answer"": ""104 arca""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah arca pada baris ketiga Rupadhatu?""}","{""answer"": ""88 arca""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah stupa pada teras pertama Arupadhatu?""}","{""answer"": ""32 stupa""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Apa mudra arca Akshobhya di Borobudur?""}","{""answer"": ""Bhumisparsa""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Apa makna mudra Bhumisparsa?""}","{""answer"": ""memanggil bumi sebagai saksi""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Di sisi mana arca Amitabha berada?""}","{""answer"": ""Barat""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Apa mudra arca Amoghasiddhi?""}","{""answer"": ""Abhaya""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Apa mudra arca Wairocana di Rupadhatu?""}","{""answer"": ""Witarka""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Apa mudra arca Wairocana di Arupadhatu?""}","{""answer"": ""Dharmachakra""}","{""category"": ""Teknis"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah relief total Borobudur?""}","{""answer"": ""2672""}","{""category"": ""Dimensi"", ""source"": ""borobudur.txt""}"
"{""question"": ""Berapa jumlah relief naratif Borobudur?""}","{""answer"": ""1460""}","{""category"": ""Dimensi"", ""source"": ""borobudur.txt""}"
"{""question"": ""Kapan Borobudur dibangun?""}","{""answer"": ""sekitar 770–825 M""}","{""category"": ""Sejarah"", ""source"": ""borobudur.txt""}"
"{""question"": ""Kapan Borobudur ditemukan kembali?""}","{""answer"": ""1814""}","{""category"": ""Sejarah"", ""source"": ""borobudur.txt""}"
"{""question"": ""Kapan pemugaran besar Borobudur dilakukan?""}","{""answer"": ""1975–1982""}","{""category"": ""Sejarah"", ""source"": ""borobudur.txt""}"

"{""question"": ""Berapa panjang Danau Toba?""}","{""answer"": ""100 km""}","{""category"": ""Dimensi"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Berapa lebar Danau Toba?""}","{""answer"": ""30 km""}","{""category"": ""Dimensi"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Berapa luas Danau Toba?""}","{""answer"": ""1.130 km2""}","{""category"": ""Dimensi"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Berapa kedalaman maksimal Danau Toba?""}","{""answer"": ""505 m""}","{""category"": ""Dimensi"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Berapa volume air Danau Toba?""}","{""answer"": ""244 km3""}","{""category"": ""Dimensi"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Pulau utama di Danau Toba adalah apa?""}","{""answer"": ""Pulau Samosir""}","{""category"": ""Teknis"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Kapan letusan besar Danau Toba terjadi?""}","{""answer"": ""sekitar 74.000 tahun lalu""}","{""category"": ""Sejarah"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Berapa VEI letusan Toba?""}","{""answer"": ""8""}","{""category"": ""Teknis"", ""source"": ""danau_toba.txt""}"
"{""question"": ""Berapa penurunan suhu global akibat letusan Toba?""}","{""answer"": ""3–5°C""}","{""category"": ""Teknis"", ""source"": ""danau_toba.txt""}"

"{""question"": ""Berapa luas wilayah Sulawesi Utara?""}","{""answer"": ""13.892,47 km2""}","{""category"": ""Dimensi"", ""source"": ""sulawesi_utara.txt""}"
"{""question"": ""Berapa populasi Sulawesi Utara tahun 2024?""}","{""answer"": ""2.645.291 jiwa""}","{""category"": ""Dimensi"", ""source"": ""sulawesi_utara.txt""}"
"{""question"": ""Berapa jumlah pulau di Sulawesi Utara?""}","{""answer"": ""sekitar 287 pulau""}","{""category"": ""Teknis"", ""source"": ""sulawesi_utara.txt""}"
"{""question"": ""Berapa panjang garis pantai Sulawesi Utara?""}","{""answer"": ""±2.395,99 km""}","{""category"": ""Dimensi"", ""source"": ""sulawesi_utara.txt""}"
"{""question"": ""Berapa jumlah gunung di Sulawesi Utara?""}","{""answer"": ""lebih dari 40 gunung""}","{""category"": ""Teknis"", ""source"": ""sulawesi_utara.txt""}"
